Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Rhodri Marsden,https://en.wikipedia.org/wiki/Rhodri_Marsden,Blog and internet humourists,,,4843,,Male,"St Albans, Hertfordshire, England",51.753051,-0.3379675,36.57
Rhona Cameron,https://en.wikipedia.org/wiki/Rhona_Cameron,Stand-up comedians,1965,,4476,60.0,Female,"Dundee, Scotland",56.4605938,-2.97019,586.62
Richard Ayoade,https://en.wikipedia.org/wiki/Richard_Ayoade,Comedy panel game regulars,1977,,37249,48.0,Male,"Hammersmith, London, England",51.494109,-0.2250607,10.67
Richard Digance,https://en.wikipedia.org/wiki/Richard_Digance,Musical comedians,1949,,5547,76.0,Male,"Plaistow, England",51.5311544,0.0166833,26.89
Richard Herring,https://en.wikipedia.org/wiki/Richard_Herring,Stand-up comedians,1967,,29682,58.0,Male,"Pocklington, East Yorkshire",53.9315681,-0.7761036,280.62
Richard Ingrams,https://en.wikipedia.org/wiki/Richard_Ingrams,Comedy panel game regulars,,,9460,,Male,"London, England",51.5074456,-0.1277653,16.85
Richard Wilson,https://en.wikipedia.org/wiki/Richard_Wilson_(Scottish_actor),Sitcom comedians,1936,,13605,89.0,Male,"Greenock, Renfrewshire",55.8840456,-4.4144882,564.81
Rick Wakeman,https://en.wikipedia.org/wiki/Rick_Wakeman,Stand-up comedians,1949,,101117,76.0,Male,"Perivale, Middlesex",,,
Ricky Gervais,https://en.wikipedia.org/wiki/Ricky_Gervais,Stand-up comedians,1961,,77848,64.0,Male,"Reading, Berkshire",51.4534889,-1.031873,48.87
Rik Mayall,https://en.wikipedia.org/wiki/Rik_Mayall,Film,,,39590,,Male,"Harlow, Essex",51.7685568,0.0949036,48.33
Rob Beckett,https://en.wikipedia.org/wiki/Rob_Beckett,Stand-up comedians,1986,,10434,39.0,Male,"Mottingham, London, England",51.4402515,0.0499618,26.52
Rob Brydon,https://en.wikipedia.org/wiki/Rob_Brydon,Comedy panel game regulars,,,22949,,Male,"Baglan, Glamorgan",51.6210687,-3.8116445,242.57
Rob Newman,https://en.wikipedia.org/wiki/Robert_Newman_(comedian),Sketch show/alternative comedians,1964,,12009,61.0,Male,,,,
Robert Lindsay,https://en.wikipedia.org/wiki/Robert_Lindsay_(actor),Sitcom comedians,1949,,12671,76.0,Male,"Ilkeston, Derbyshire",52.970845,-1.3091628,184.62
Robert Llewellyn,https://en.wikipedia.org/wiki/Robert_Llewellyn,Sitcom comedians,1956,,15074,69.0,Male,"Northampton, England",52.2343297,-0.9028043,98.37
Robert Morley,https://en.wikipedia.org/wiki/Robert_Morley,Comedy panel game regulars,,,16386,,Male,"Semley, Wiltshire",51.0413707,-2.1562572,134.44
Robert Newman,https://en.wikipedia.org/wiki/Robert_Newman_(comedian),Comedy double acts,,,12009,,Male,,,,
